...1	Bin ID	Bin Quality	Bin Lineage	Domain	Phylum	Class	Order	Family	Genus	Bin Methods	Created By	Date Added	Completeness	Contamination	Total Number of Bases	5s rRNA	16s rRNA	23s rRNA	tRNA Genes	Gene Count	Scaffold Count
NA	3300050821_2624	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	55.64	0	4233433	0	0	0	24	3725	358
NA	3300050821_1480	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Acidobacterium_A	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	66.24	0.28	4966281	1	0	0	27	4669	364
NA	3300050821_2573	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Acidobacterium_A	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	76.31	0	4672776	0	0	0	31	4268	332
NA	3300050821_2745	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidobacterium	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Acidobacterium_A	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	58.62	0	3167628	1	0	0	19	3023	290
NA	3300050821_1212	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium KBS 89	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Edaphobacter	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	71.57	1.29	4301194	1	0	0	21	3827	348
NA	3300050821_1571	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium KBS 89	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Edaphobacter	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	81.84	0	3801579	0	0	0	34	3481	304
NA	3300050821_1794	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium KBS 89	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Edaphobacter	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	94.4	0.86	4939790	0	0	0	44	4386	190
NA	3300050821_2520	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Edaphobacter	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	66.38	0	4033094	0	0	0	34	3662	184
NA	3300050821_461	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium KBS 89	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Edaphobacter	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	82.3	2.59	4143109	0	0	0	26	3726	260
NA	3300050821_66	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Edaphobacter; Edaphobacter lichenicola	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Edaphobacter	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	85.5	2.16	4405246	1	0	0	42	3980	249
NA	3300050821_2686	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Palsa-288	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	51.65	0	2713050	0	0	0	21	2585	290
NA	3300050821_2148	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 PALSA-350	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	59.48	0	6020939	0	0	0	25	5453	556
NA	3300050821_2152	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 PALSA-350	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	55.17	0	5706922	1	0	0	38	5213	532
NA	3300050821_2272	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 PALSA-350	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	60.82	0	3101097	0	1	0	32	2895	303
NA	3300050821_2743	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 PALSA-350	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	56.03	0	4313814	0	0	0	14	4016	488
NA	3300050821_440	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 PALSA-350	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	50	0	6202585	0	0	0	29	5514	454
NA	3300050821_255	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidisarcina; Acidisarcina polymorpha	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 SBC82	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	53.76	0	2257714	0	0	0	15	2074	224
NA	3300050821_1505	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Silvibacterium; Silvibacterium bohemicum	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Silvibacterium	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	80.22	0.9	3723184	0	0	0	24	3312	228
NA	3300050821_531	HQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	96.36	1.72	4680572	1	1	1	47	4053	56
NA	3300050821_1038	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	50.57	0.07	1907015	0	0	0	12	1893	294
NA	3300050821_1055	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	89.13	0.86	5324044	0	0	0	37	4807	277
NA	3300050821_1430	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	61.23	0.86	3219420	0	0	0	25	2953	279
NA	3300050821_1524	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium URHE0068	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	72.08	0.86	3996502	0	1	0	21	3616	314
NA	3300050821_2194	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	82.28	1.72	4301976	0	0	0	29	4048	357
NA	3300050821_2724	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	56.03	0	2497490	0	0	0	16	2326	335
NA	3300050821_2838	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	54.6	0	2708762	0	0	0	28	2576	334
NA	3300050821_325	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	92.15	1.08	5957832	1	0	1	51	5231	191
NA	3300050821_415	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium URHE0068	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	50	1.72	3408434	0	0	0	20	3200	310
NA	3300050821_439	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	76.78	0.86	3864777	1	0	0	30	3510	279
NA	3300050821_458	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	92.2	0.86	5249091	1	0	1	67	4559	208
NA	3300050821_893	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	 Terracidiphilus	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	85.63	1.29	5258928	0	1	0	34	4568	203
NA	3300050821_1163	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA112	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	78.89	1.14	3869739	1	0	1	25	3671	354
NA	3300050821_1779	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA112	 Gp1-AA112	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	89.53	1.76	5000071	1	0	0	46	4769	342
NA	3300050821_2516	HQ	Bacteria	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA117	 Gp1-AA17	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	98.93	2.85	6886163	1	1	1	88	5929	82
NA	3300050821_83	HQ	Bacteria	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA117	 Gp1-AA17	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	93.43	1.99	5525048	1	1	1	53	5032	163
NA	3300050821_123	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA117	 Gp1-AA17	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	72.83	2.56	3402497	0	1	0	21	3478	425
NA	3300050821_2608	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA117	 Gp1-AA17	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	82.67	4.56	3738506	1	1	1	39	3721	332
NA	3300050821_470	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Gp1-AA117	 Gp1-AA17	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	94.71	2.85	4437472	1	0	1	55	4105	145
NA	3300050821_102	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	96.79	2.56	4599331	1	0	1	53	4369	85
NA	3300050821_103	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	89.87	0.85	4066278	0	0	0	53	3772	55
NA	3300050821_1057	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	86.97	0.85	3998794	0	0	0	40	3718	141
NA	3300050821_1299	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	97.74	0.9	4045499	0	0	0	52	3776	91
NA	3300050821_1346	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	88.26	0.85	4138552	0	0	0	44	3981	179
NA	3300050821_1347	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	93.42	0.85	6298257	0	0	0	44	5905	199
NA	3300050821_1371	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	86.92	0	3212966	0	0	0	32	3143	249
NA	3300050821_1757	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	62.19	0.85	2626269	0	0	0	26	2612	263
NA	3300050821_1763	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	53.3	0.85	2046289	0	0	0	10	2051	236
NA	3300050821_1796	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	55.15	0.85	2591806	0	0	0	20	2589	297
NA	3300050821_2170	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	56.21	0	3945566	0	0	0	28	3706	208
NA	3300050821_219	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	65.74	1.71	2657495	1	0	1	30	2689	326
NA	3300050821_2533	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	91.77	0.85	4233198	0	0	0	44	4034	129
NA	3300050821_2537	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	76.23	0	4325956	0	0	0	27	4126	216
NA	3300050821_27	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	81.03	0.85	3081434	1	0	0	23	2917	179
NA	3300050821_399	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	72.05	0	3791641	0	0	0	19	3629	258
NA	3300050821_407	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	84.76	0.85	3725481	1	0	1	37	3570	277
NA	3300050821_670	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	95.92	2.56	3554710	0	0	0	41	3328	105
NA	3300050821_70	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	87.86	0.43	4126175	1	1	1	49	3782	164
NA	3300050821_713	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Koribacteraceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	62.23	0	2562644	0	0	0	18	2617	317
